,organization_name,repo_full_name,contributors_num,is_fork,active_15,active_16,active_17,active_18,active_19,active_20,active_21,active_22,use_CI,ci_num
11099,Mirantis Inc.,mcc-api,1,False,False,False,False,False,False,False,False,True,False,0.0
11100,Red Hat Developer,app-services-api-guidelines,3,False,False,False,False,False,False,False,False,True,True,
11101,NetEase,pomelo-pathfinding,1,False,False,False,False,False,False,False,False,False,False,0.0
11102,Google,gnxi,25,False,False,False,False,False,False,True,True,True,True,
11103,Yahoo,ironic-secureboot-driver,2,False,False,False,False,True,True,True,True,False,False,0.0
11104,Google,draft-todo-chariton-dns-account-01,3,False,False,False,False,False,False,False,False,True,True,
11105,Qiniu Cloud,percona-server-mongodb,250,True,False,False,False,True,False,False,False,False,False,
11106,Alibaba,Trescope,2,False,False,False,False,False,False,True,True,False,False,0.0
11107,Google,blockly-devtools,62,False,False,False,True,True,True,True,True,True,True,
11108,Google,glassbox,0,False,False,False,False,False,False,False,False,False,False,
11109,Square,auto-value-redacted,5,False,True,True,True,True,True,False,False,False,True,
11110,Juniper Networks,nita-robot,4,False,False,False,False,False,False,True,True,True,False,
11111,LinkedIn,goavro,39,False,False,False,False,False,True,True,True,True,True,
11112,Google,go-tspi,11,False,True,True,True,True,True,True,True,True,True,
11113,Juniper Networks,HoneyProcs,2,False,False,False,False,True,False,False,False,False,False,
11114,Google,gfbuild-shadertrap,2,False,False,False,False,False,False,False,True,False,True,
11115,Oracle,bosh-oracle-cpi-release,3,False,False,False,True,True,True,False,False,False,False,
11116,Google,transit,37,False,False,False,False,False,False,True,True,True,True,
11117,jpush,jmlink_demo,2,False,False,False,False,False,False,True,False,False,False,0.0
11118,Salesforce,threatshell,1,False,False,True,True,True,True,True,True,True,False,
11119,Intel Corporation,intel-vaapi-driver,71,False,False,False,False,True,True,True,True,False,True,
11120,JetBrains,intellij-deps-jdom,6,False,True,True,True,True,False,False,False,False,False,
11121,NVIDIA Corporation,DCGM,3,False,False,False,False,False,False,False,True,True,False,0.0
11122,International Business Machines,demo-db-docker,11,False,False,False,False,True,True,True,True,False,True,
11123,"Okta, Inc",okta-auth-js,54,False,False,False,False,False,False,False,False,True,True,1.0
11124,International Business Machines,stop-malicious-http-traffic-with-Istio,1,False,False,False,True,False,False,False,False,False,False,
11125,JetBrains,teamcity-aws-lambda-plugin,2,False,False,False,False,False,False,False,False,True,False,
11126,Oracle,fluent-plugin-oci-logging,4,False,False,False,False,False,False,False,True,True,False,
11127,Instagram,ultramemcached,0,True,False,False,False,False,False,False,False,False,False,
11128,"Ctrip, Inc.",ares-ceph,2,False,False,False,False,False,True,False,False,False,False,0.0
11129,Apple,ml-dms-dataset,1,False,False,False,False,False,False,False,False,True,False,
11130,VMware,vrealize-developer-tools,13,False,False,False,False,False,False,True,True,True,True,
11131,Google,strict-csp,3,False,False,False,False,False,False,False,True,True,True,
11132,International Business Machines,unity-sdk-core,8,False,False,False,False,False,True,True,True,True,True,
11133,Bytedance Inc.,particle-sfm,3,False,False,False,False,False,False,False,False,True,False,0.0
