repo_full_name,predict,Truth,correct
assertj-android,1,1,1
amcharts-accessibility-plugin,1,1,1
tsar,1,0,0
falcor-datasource-chainer,1,1,1
gear,1,1,1
badge-up-api,1,1,1
docker-selion,0,0,1
miniutf,1,0,0
sslconfig,1,1,1
grange-server,1,0,0
emoji-java,1,1,1
ccs-calendarserver,1,1,1
asgard,1,0,0
buttonmanager-sdk-dotnet,1,1,1
logstash,0,0,1
debug_socket,1,1,1
etcd,0,0,1
billow,1,1,1
teamcity-docker-server,1,1,1
Safelight,1,1,1
XenGT-Preview-qemu,1,1,1
netperf,1,1,1
YMCache,1,1,1
CODK-Z-Flashpack,1,1,1
juniper.github.io,1,1,1
backbeat,1,1,1
codesearch,1,1,1
awesome-javascript-cn,1,1,1
MaxScale,1,0,0
analytical-sql-examples,1,1,1
hackathon16-arduino-led,1,0,0
ccp-pipeline-libs,1,1,1
nvidia-xconfig,1,1,1
cp-patterns,1,1,1
httptest,1,1,1
mt,1,1,1
sleepy-puppy-docker,1,1,1
mos-integration-tests,1,1,1
twisted_s3,1,0,0
fstools,1,0,0
yelp_kafka,1,1,1
KVMGT-seabios,1,1,1
dpy,1,1,1
docker-nexus,1,0,0
rib,1,0,0
openssl-tests,1,0,0
AirMapView,1,1,1
node-swagger-ui-middleware,1,1,1
library,0,1,0
seafile-test-deploy,1,1,1
TeamCity.StaticUIExtensions,1,1,1
intellij-deps-proxy-vole,1,1,1
doctor,1,1,1
webapps-memory-game-older-kids,1,0,0
foedus,1,1,1
jpush-ios-sdk-pod,1,1,1
contrail-vrouter-java-api,1,1,1
intellij-thrift,1,0,0
mk-lab-salt-model,1,1,1
sprite-loader,1,1,1
vimdoc,1,1,1
CODK-M,1,1,1
blakejs,0,1,0
re2j,1,1,1
deepboost,1,0,0
gpu-rest-engine,1,1,1
extra-keyboards-for-chrome-os,1,1,1
enum_class.dart,1,0,0
Teaf,1,1,1
thunderbolt-dkms,1,1,1
TouchTime,1,1,1
